shift_id,day,start,end,role,required_staff,demand_id
D01_NURSE_MORNING,2025-11-01,06:00,14:00,nurse,6,W01_NURSE_MORNING
D01_NURSE_EVENING,2025-11-01,14:00,22:00,nurse,5,W01_NURSE_EVENING
D01_NURSE_NIGHT,2025-11-01,22:00,06:00,nurse,4,W01_NURSE_NIGHT_A
D01_DOCTOR_DAY,2025-11-01,08:00,20:00,doctor,3,W01_DOCTOR_DAY
D01_TRIAGE_PEAK,2025-11-01,10:00,18:00,triage,2,W01_TRIAGE_PEAK
D01_THERAPIST_DAY,2025-11-01,09:00,17:00,therapist,1,W01_THERAPIST_DAY
D02_NURSE_MORNING,2025-11-02,06:00,14:00,nurse,6,W02_NURSE_MORNING
D02_NURSE_EVENING,2025-11-02,14:00,22:00,nurse,5,W02_NURSE_EVENING
D02_NURSE_NIGHT,2025-11-02,22:00,06:00,nurse,4,W02_NURSE_NIGHT_A
D02_DOCTOR_DAY,2025-11-02,08:00,20:00,doctor,3,W02_DOCTOR_DAY
D02_TRIAGE_PEAK,2025-11-02,10:00,18:00,triage,2,W02_TRIAGE_PEAK
D02_THERAPIST_DAY,2025-11-02,09:00,17:00,therapist,1,W02_THERAPIST_DAY
D03_NURSE_MORNING,2025-11-03,06:00,14:00,nurse,6,W03_NURSE_MORNING
D03_NURSE_EVENING,2025-11-03,14:00,22:00,nurse,5,W03_NURSE_EVENING
D03_NURSE_NIGHT,2025-11-03,22:00,06:00,nurse,4,W03_NURSE_NIGHT_A
D03_DOCTOR_DAY,2025-11-03,08:00,20:00,doctor,3,W03_DOCTOR_DAY
D03_TRIAGE_PEAK,2025-11-03,10:00,18:00,triage,2,W03_TRIAGE_PEAK
D03_THERAPIST_DAY,2025-11-03,09:00,17:00,therapist,1,W03_THERAPIST_DAY
D04_NURSE_MORNING,2025-11-04,06:00,14:00,nurse,6,W04_NURSE_MORNING
D04_NURSE_EVENING,2025-11-04,14:00,22:00,nurse,5,W04_NURSE_EVENING
D04_NURSE_NIGHT,2025-11-04,22:00,06:00,nurse,4,W04_NURSE_NIGHT_A
D04_DOCTOR_DAY,2025-11-04,08:00,20:00,doctor,3,W04_DOCTOR_DAY
D04_TRIAGE_PEAK,2025-11-04,10:00,18:00,triage,2,W04_TRIAGE_PEAK
D04_THERAPIST_DAY,2025-11-04,09:00,17:00,therapist,1,W04_THERAPIST_DAY
D05_NURSE_MORNING,2025-11-05,06:00,14:00,nurse,6,W05_NURSE_MORNING
D05_NURSE_EVENING,2025-11-05,14:00,22:00,nurse,5,W05_NURSE_EVENING
D05_NURSE_NIGHT,2025-11-05,22:00,06:00,nurse,4,W05_NURSE_NIGHT_A
D05_DOCTOR_DAY,2025-11-05,08:00,20:00,doctor,3,W05_DOCTOR_DAY
D05_TRIAGE_PEAK,2025-11-05,10:00,18:00,triage,2,W05_TRIAGE_PEAK
D05_THERAPIST_DAY,2025-11-05,09:00,17:00,therapist,1,W05_THERAPIST_DAY
D06_NURSE_MORNING,2025-11-06,06:00,14:00,nurse,6,W06_NURSE_MORNING
D06_NURSE_EVENING,2025-11-06,14:00,22:00,nurse,5,W06_NURSE_EVENING
D06_NURSE_NIGHT,2025-11-06,22:00,06:00,nurse,4,W06_NURSE_NIGHT_A
D06_DOCTOR_DAY,2025-11-06,08:00,20:00,doctor,3,W06_DOCTOR_DAY
D06_TRIAGE_PEAK,2025-11-06,10:00,18:00,triage,2,W06_TRIAGE_PEAK
D06_THERAPIST_DAY,2025-11-06,09:00,17:00,therapist,1,W06_THERAPIST_DAY
D07_NURSE_MORNING,2025-11-07,06:00,14:00,nurse,6,W07_NURSE_MORNING
D07_NURSE_EVENING,2025-11-07,14:00,22:00,nurse,5,W07_NURSE_EVENING
D07_NURSE_NIGHT,2025-11-07,22:00,06:00,nurse,4,W07_NURSE_NIGHT_A
D07_DOCTOR_DAY,2025-11-07,08:00,20:00,doctor,3,W07_DOCTOR_DAY
D07_TRIAGE_PEAK,2025-11-07,10:00,18:00,triage,2,W07_TRIAGE_PEAK
D07_THERAPIST_DAY,2025-11-07,09:00,17:00,therapist,1,W07_THERAPIST_DAY
