window_id,day,window_start,window_end,role,window_demand,skills
W01_NURSE_MORNING,2025-11-01,06:00,14:00,nurse,8,"first_aid:3,cpr:2"
W01_NURSE_EVENING,2025-11-01,14:00,22:00,nurse,6,"first_aid:2,cpr:2"
W01_NURSE_NIGHT_A,2025-11-01,22:00,23:59,nurse,3,icu:2
W01_NURSE_NIGHT_B,2025-11-02,00:00,06:00,nurse,2,icu:2
W01_DOCTOR_DAY,2025-11-01,08:00,20:00,doctor,4,"emergency:1,surgery:1"
W01_TRIAGE_PEAK,2025-11-01,10:00,18:00,triage,3,customer_service:2
W01_THERAPIST_DAY,2025-11-01,09:00,17:00,therapist,2,rehab:1
W02_NURSE_MORNING,2025-11-02,06:00,14:00,nurse,8,"first_aid:3,cpr:2"
W02_NURSE_EVENING,2025-11-02,14:00,22:00,nurse,6,"first_aid:2,cpr:2"
W02_NURSE_NIGHT_A,2025-11-02,22:00,23:59,nurse,3,icu:2
W02_NURSE_NIGHT_B,2025-11-03,00:00,06:00,nurse,2,icu:2
W02_DOCTOR_DAY,2025-11-02,08:00,20:00,doctor,4,"emergency:1,surgery:1"
W02_TRIAGE_PEAK,2025-11-02,10:00,18:00,triage,3,customer_service:2
W02_THERAPIST_DAY,2025-11-02,09:00,17:00,therapist,2,rehab:1
W03_NURSE_MORNING,2025-11-03,06:00,14:00,nurse,8,"first_aid:3,cpr:2"
W03_NURSE_EVENING,2025-11-03,14:00,22:00,nurse,6,"first_aid:2,cpr:2"
W03_NURSE_NIGHT_A,2025-11-03,22:00,23:59,nurse,3,icu:2
W03_NURSE_NIGHT_B,2025-11-04,00:00,06:00,nurse,2,icu:2
W03_DOCTOR_DAY,2025-11-03,08:00,20:00,doctor,4,"emergency:1,surgery:1"
W03_TRIAGE_PEAK,2025-11-03,10:00,18:00,triage,3,customer_service:2
W03_THERAPIST_DAY,2025-11-03,09:00,17:00,therapist,2,rehab:1
W04_NURSE_MORNING,2025-11-04,06:00,14:00,nurse,8,"first_aid:3,cpr:2"
W04_NURSE_EVENING,2025-11-04,14:00,22:00,nurse,6,"first_aid:2,cpr:2"
W04_NURSE_NIGHT_A,2025-11-04,22:00,23:59,nurse,3,icu:2
W04_NURSE_NIGHT_B,2025-11-05,00:00,06:00,nurse,2,icu:2
W04_DOCTOR_DAY,2025-11-04,08:00,20:00,doctor,4,"emergency:1,surgery:1"
W04_TRIAGE_PEAK,2025-11-04,10:00,18:00,triage,3,customer_service:2
W04_THERAPIST_DAY,2025-11-04,09:00,17:00,therapist,2,rehab:1
W05_NURSE_MORNING,2025-11-05,06:00,14:00,nurse,8,"first_aid:3,cpr:2"
W05_NURSE_EVENING,2025-11-05,14:00,22:00,nurse,6,"first_aid:2,cpr:2"
W05_NURSE_NIGHT_A,2025-11-05,22:00,23:59,nurse,3,icu:2
W05_NURSE_NIGHT_B,2025-11-06,00:00,06:00,nurse,2,icu:2
W05_DOCTOR_DAY,2025-11-05,08:00,20:00,doctor,4,"emergency:1,surgery:1"
W05_TRIAGE_PEAK,2025-11-05,10:00,18:00,triage,3,customer_service:2
W05_THERAPIST_DAY,2025-11-05,09:00,17:00,therapist,2,rehab:1
W06_NURSE_MORNING,2025-11-06,06:00,14:00,nurse,8,"first_aid:3,cpr:2"
W06_NURSE_EVENING,2025-11-06,14:00,22:00,nurse,6,"first_aid:2,cpr:2"
W06_NURSE_NIGHT_A,2025-11-06,22:00,23:59,nurse,3,icu:2
W06_NURSE_NIGHT_B,2025-11-07,00:00,06:00,nurse,2,icu:2
W06_DOCTOR_DAY,2025-11-06,08:00,20:00,doctor,4,"emergency:1,surgery:1"
W06_TRIAGE_PEAK,2025-11-06,10:00,18:00,triage,3,customer_service:2
W06_THERAPIST_DAY,2025-11-06,09:00,17:00,therapist,2,rehab:1
W07_NURSE_MORNING,2025-11-07,06:00,14:00,nurse,8,"first_aid:3,cpr:2"
W07_NURSE_EVENING,2025-11-07,14:00,22:00,nurse,6,"first_aid:2,cpr:2"
W07_NURSE_NIGHT_A,2025-11-07,22:00,23:59,nurse,3,icu:2
W07_NURSE_NIGHT_B,2025-11-08,00:00,06:00,nurse,2,icu:2
W07_DOCTOR_DAY,2025-11-07,08:00,20:00,doctor,4,"emergency:1,surgery:1"
W07_TRIAGE_PEAK,2025-11-07,10:00,18:00,triage,3,customer_service:2
W07_THERAPIST_DAY,2025-11-07,09:00,17:00,therapist,2,rehab:1
