employee_id,shift_id,day,start_dt,end_dt,duration_h,role,required_staff
E001,S_2025-10-07_doctor_0830_1830,2025-10-07,2025-10-07 08:30:00,2025-10-07 18:30:00,10.0,doctor,2
E001,S_2025-10-09_doctor_0800_1800,2025-10-09,2025-10-09 08:00:00,2025-10-09 18:00:00,10.0,doctor,2
E001,S_2025-10-10_doctor_0830_1830,2025-10-10,2025-10-10 08:30:00,2025-10-10 18:30:00,10.0,doctor,2
E001,S_2025-10-12_doctor_0800_1800,2025-10-12,2025-10-12 08:00:00,2025-10-12 18:00:00,10.0,doctor,2
E002,S_2025-10-06_doctor_0800_1800,2025-10-06,2025-10-06 08:00:00,2025-10-06 18:00:00,10.0,doctor,2
E002,S_2025-10-07_doctor_0830_1830,2025-10-07,2025-10-07 08:30:00,2025-10-07 18:30:00,10.0,doctor,2
E002,S_2025-10-10_doctor_0830_1830,2025-10-10,2025-10-10 08:30:00,2025-10-10 18:30:00,10.0,doctor,2
E002,S_2025-10-12_doctor_0800_1800,2025-10-12,2025-10-12 08:00:00,2025-10-12 18:00:00,10.0,doctor,2
E003,S_2025-10-06_doctor_0800_1800,2025-10-06,2025-10-06 08:00:00,2025-10-06 18:00:00,10.0,doctor,2
E003,S_2025-10-07_doctor_0830_1830,2025-10-07,2025-10-07 08:30:00,2025-10-07 18:30:00,10.0,doctor,2
E003,S_2025-10-10_doctor_0830_1830,2025-10-10,2025-10-10 08:30:00,2025-10-10 18:30:00,10.0,doctor,2
E003,ANCH_2025-10-13_doctor_0400_0600,2025-10-13,2025-10-13 04:00:00,2025-10-13 06:00:00,2.0,doctor,1
E004,S_2025-10-07_doctor_0830_1830,2025-10-07,2025-10-07 08:30:00,2025-10-07 18:30:00,10.0,doctor,2
E004,S_2025-10-09_doctor_0000_0600,2025-10-09,2025-10-09 00:00:00,2025-10-09 06:00:00,6.0,doctor,1
E004,S_2025-10-10_doctor_0830_1830,2025-10-10,2025-10-10 08:30:00,2025-10-10 18:30:00,10.0,doctor,2
E004,S_2025-10-12_doctor_0800_1800,2025-10-12,2025-10-12 08:00:00,2025-10-12 18:00:00,10.0,doctor,2
E005,S_2025-10-06_doctor_0800_1800,2025-10-06,2025-10-06 08:00:00,2025-10-06 18:00:00,10.0,doctor,2
E005,S_2025-10-07_doctor_0830_1830,2025-10-07,2025-10-07 08:30:00,2025-10-07 18:30:00,10.0,doctor,2
E005,S_2025-10-10_doctor_0830_1830,2025-10-10,2025-10-10 08:30:00,2025-10-10 18:30:00,10.0,doctor,2
E005,S_2025-10-11_doctor_1400_2200,2025-10-11,2025-10-11 14:00:00,2025-10-11 22:00:00,8.0,doctor,1
E006,S_2025-10-07_doctor_0830_1830,2025-10-07,2025-10-07 08:30:00,2025-10-07 18:30:00,10.0,doctor,2
E006,S_2025-10-09_doctor_0800_1800,2025-10-09,2025-10-09 08:00:00,2025-10-09 18:00:00,10.0,doctor,2
E006,S_2025-10-10_doctor_0830_1830,2025-10-10,2025-10-10 08:30:00,2025-10-10 18:30:00,10.0,doctor,2
E006,S_2025-10-13_doctor_0000_0600,2025-10-13,2025-10-13 00:00:00,2025-10-13 06:00:00,6.0,doctor,1
E007,S_2025-10-07_doctor_0830_1830,2025-10-07,2025-10-07 08:30:00,2025-10-07 18:30:00,10.0,doctor,2
E007,S_2025-10-09_doctor_0800_1800,2025-10-09,2025-10-09 08:00:00,2025-10-09 18:00:00,10.0,doctor,2
E007,S_2025-10-10_doctor_0830_1830,2025-10-10,2025-10-10 08:30:00,2025-10-10 18:30:00,10.0,doctor,2
E007,S_2025-10-12_doctor_0800_1800,2025-10-12,2025-10-12 08:00:00,2025-10-12 18:00:00,10.0,doctor,2
E008,S_2025-10-09_doctor_0800_1800,2025-10-09,2025-10-09 08:00:00,2025-10-09 18:00:00,10.0,doctor,2
E008,S_2025-10-10_doctor_0830_1830,2025-10-10,2025-10-10 08:30:00,2025-10-10 18:30:00,10.0,doctor,2
E008,S_2025-10-12_doctor_0800_1800,2025-10-12,2025-10-12 08:00:00,2025-10-12 18:00:00,10.0,doctor,2
E008,ANCH_2025-10-06_doctor_1400_1600,2025-10-06,2025-10-06 14:00:00,2025-10-06 16:00:00,2.0,doctor,3
E009,S_2025-10-07_labtech_0700_1500,2025-10-07,2025-10-07 07:00:00,2025-10-07 15:00:00,8.0,labtech,1
E009,S_2025-10-09_labtech_0700_1500,2025-10-09,2025-10-09 07:00:00,2025-10-09 15:00:00,8.0,labtech,1
E009,S_2025-10-10_labtech_0700_1500,2025-10-10,2025-10-10 07:00:00,2025-10-10 15:00:00,8.0,labtech,1
E009,S_2025-10-11_labtech_0700_1500,2025-10-11,2025-10-11 07:00:00,2025-10-11 15:00:00,8.0,labtech,1
E010,S_2025-10-06_triage_1000_1800,2025-10-06,2025-10-06 10:00:00,2025-10-06 18:00:00,8.0,triage,2
E010,S_2025-10-09_triage_1000_1800,2025-10-09,2025-10-09 10:00:00,2025-10-09 18:00:00,8.0,triage,2
E010,S_2025-10-10_triage_1000_1800,2025-10-10,2025-10-10 10:00:00,2025-10-10 18:00:00,8.0,triage,2
E010,S_2025-10-12_triage_1000_1800,2025-10-12,2025-10-12 10:00:00,2025-10-12 18:00:00,8.0,triage,2
